AcresBurned,Injuries
24251.0,10.0
20292.0,26.0
11429.0,5.0
8073.0,6.0
7055.0,12.0
6965.0,6.0
4346.0,4.0
4346.0,4.0
3505.0,6.0
3166.0,2.0
2781.0,5.0
2462.0,5.0
1708.0,1.0
1271.0,6.0
712.0,5.0
406.0,2.0
263.0,2.0
92.0,2.0
80.0,1.0
75.0,1.0
46.0,2.0
97717.0,12.0
32416.0,11.0
13153.0,7.0
12661.0,21.0
12536.0,15.0
6488.0,5.0
4300.0,4.0
4300.0,4.0
4240.0,2.0
4240.0,2.0
2143.0,3.0
1995.0,3.0
1548.0,3.0
1375.0,4.0
677.0,9.0
612.0,3.0
580.0,2.0
516.0,1.0
459.0,2.0
403.0,3.0
389.0,4.0
320.0,4.0
300.0,3.0
217.0,4.0
130.0,1.0
85.0,1.0
40.0,4.0
7000.0,4.0
7000.0,4.0
4883.0,14.0
2446.0,1.0
2304.0,6.0
1791.0,4.0
1086.0,0.0
1042.0,1.0
670.0,3.0
212.0,2.0
158.0,2.0
158.0,3.0
108.0,1.0
86.0,4.0
75.0,2.0
18.0,1.0
46344.0,1.0
8110.0,1.0
5646.0,3.0
5646.0,3.0
3876.0,1.0
2575.0,1.0
1785.0,3.0
1547.0,2.0
1470.0,1.0
850.0,3.0
441.0,1.0
139.0,1.0
83.0,1.0
70.0,3.0
36556.0,5.0
36523.0,1.0
9217.0,4.0
6033.0,0.0
4016.0,2.0
2269.0,4.0
995.0,3.0
900.0,1.0
392.0,1.0
391.0,1.0
339.0,4.0
146.0,3.0
135.0,2.0
410203.0,3.0
410203.0,3.0
410203.0,3.0
410203.0,3.0
229651.0,0.0
229651.0,0.0
153336.0,3.0
96949.0,0.0
96949.0,0.0
90288.0,1.0
90288.0,1.0
38008.0,3.0
15185.0,1.0
3716.0,1.0
1678.0,1.0
265.0,1.0
247.0,1.0
167.0,1.0
43.0,2.0
77758.0,4.0
8799.0,8.0
2534.0,4.0
2512.0,2.0
1926.0,3.0
600.0,3.0
225.0,3.0
220.0,4.0
85.0,2.0
10.0,1.0
