AcresBurned,TimeToExtinguish
24251.0,12929.0
20292.0,7435.0
11429.0,8790.0
8073.0,8338.0
7055.0,12560.0
6965.0,11508.0
4346.0,9055.0
4346.0,9055.0
3505.0,8171.0
3166.0,4672.0
2781.0,4645.0
2462.0,8723.0
1708.0,14223.0
1271.0,6851.0
712.0,4725.0
406.0,6464.0
263.0,4626.0
92.0,4244.0
80.0,1477.0
75.0,2565.0
46.0,2699.0
97717.0,37488.0
32416.0,35516.0
13153.0,19439.0
12661.0,21863.0
12536.0,59823.0
6488.0,11308.0
4300.0,11872.0
4300.0,11872.0
4240.0,11681.0
4240.0,11681.0
2143.0,7770.0
1995.0,11655.0
1548.0,6314.0
1375.0,9180.0
677.0,10257.0
612.0,9755.0
580.0,5904.0
516.0,37752.0
459.0,9737.0
403.0,5782.0
389.0,6019.0
320.0,11139.0
300.0,9861.0
217.0,4232.0
130.0,4519.0
85.0,3263.0
40.0,2415.0
7000.0,8248.0
7000.0,8248.0
4883.0,28993.0
2446.0,17282.0
2304.0,26198.0
1791.0,5989.0
1086.0,11715.0
1042.0,8955.0
670.0,5880.0
212.0,4385.0
158.0,11445.0
158.0,5678.0
108.0,10432.0
86.0,8945.0
75.0,3010.0
18.0,1676.0
46344.0,34047.0
8110.0,12702.0
5646.0,28555.0
5646.0,28555.0
3876.0,4488.0
2575.0,15567.0
1785.0,10375.0
1547.0,6137.0
1470.0,4665.0
850.0,9983.0
441.0,4815.0
139.0,4715.0
83.0,1274.0
70.0,9657.0
36556.0,191778.0
36523.0,177680.0
9217.0,256376.0
6033.0,267655.0
4016.0,527171.0
2269.0,269224.0
995.0,171743.0
900.0,254705.0
392.0,189910.0
391.0,121871.0
339.0,310953.0
146.0,161300.0
135.0,302012.0
410203.0,231688.0
410203.0,231688.0
410203.0,231688.0
410203.0,231688.0
229651.0,237382.0
229651.0,237382.0
153336.0,24567.0
96949.0,81738.0
96949.0,81738.0
90288.0,270465.0
90288.0,270465.0
38008.0,263364.0
15185.0,280360.0
3716.0,280704.0
1678.0,279212.0
265.0,305305.0
247.0,234413.0
167.0,235773.0
43.0,243220.0
77758.0,20013.0
8799.0,29528.0
2534.0,16065.716666666667
2512.0,12710.0
1926.0,14536.4
600.0,6117.85
225.0,7265.0
220.0,8854.0
85.0,3866.483333333333
10.0,226.31666666666666
